"","lon","lat","NAME","type","inmates"
"125",-97.2201437,30.1756504,"Bastrop CCD","local_jail",300
"126",-97.4381222,27.7017677,"Corpus Christi CCD","state_pris",289
"127",-102.1564079,32.0135361,"Midland CCD","local_jail",288
"128",-94.7211733,31.3437681,"Lufkin CCD","local_jail",276
"129",-96.0969009,33.1254747,"Greenville CCD","local_jail",271
"130",-98.0249882,29.8948633,"San Marcos CCD","local_jail",259
"131",-96.4059612,30.1643522,"Brenham CCD","state_pris",257
"132",-96.2903014,32.482044,"Kaufman CCD","local_jail",255
"133",-100.2629714,28.4918138,"Eagle Pass CCD","local_jail",252
"134",-98.1904625,29.7588229,"New Braunfels CCD","local_jail",246
"135",-96.5185032,33.586236,"East Grayson CCD","local_jail",224
"136",-94.6513633,31.5986644,"Nacogdoches CCD","local_jail",204
"137",-97.1299772,32.6667392,"Arlington CCD","local_jail",204
"138",-99.8613872,32.5915678,"Hawley-Noodle CCD","local_jail",200
"139",-97.125046,27.9898056,"Rockport CCD","local_jail",192
"140",-97.5779642,28.0224856,"Sinton-Odem CCD","local_jail",190
"141",-97.5125573,25.9657788,"Brownsville CCD","local_jail",186
"142",-97.7186568,32.4486424,"Granbury East CCD","local_jail",185
"143",-96.3469976,30.6458811,"Bryan-College Station CCD","local_jail",184
"144",-95.2535088,32.8809983,"Winnsboro CCD","state_pris",182
"145",-96.4386556,32.0535556,"Corsicana CCD","local_jail",179
"146",-95.6074474,31.7623956,"Palestine CCD","local_jail",176
"147",-94.8948647,29.2287059,"Galveston CCD","state_pris",172
"148",-97.6233928,29.9104988,"Lockhart CCD","local_jail",171
"149",-96.4738136,32.9354543,"Northwest Rockwall CCD","local_jail",167
"150",-101.7856441,34.1955342,"Plainview CCD","local_jail",160
"151",-99.0865315,30.0419471,"Kerrville CCD","local_jail",156
"152",-93.7757556,30.1056423,"Orange CCD","local_jail",151
"153",-95.5243661,33.6617904,"Paris CCD","local_jail",148
"154",-97.0800196,31.9855162,"Hillsboro CCD","local_jail",139
"155",-106.4090295,31.7899233,"El Paso CCD","state_pris",138
"156",-95.1931185,31.7970129,"Rusk CCD","local_jail",138
"157",-94.3765896,32.5399187,"Marshall CCD","local_jail",138
"158",-95.8779346,32.5517388,"Canton CCD","local_jail",134
"159",-94.6952578,29.6720766,"Anahuac CCD","local_jail",129
"160",-95.8949906,29.0223482,"Bay City CCD","local_jail",128
"161",-97.6847383,28.4270428,"Beeville CCD","local_jail",123
"162",-102.3350117,33.1083848,"Brownfield CCD","local_jail",123
"163",-97.6262746,27.4532733,"Kingsville CCD","local_jail",120
"164",-94.6118401,31.9050592,"Mount Enterprise CCD","state_pris",118
"165",-98.1378941,26.3460448,"Edinburg CCD","fed_pris",117
"166",-95.6655801,30.7050371,"Huntsville CCD","local_jail",112
"167",-94.8361971,30.7204527,"Livingston-Onalaska CCD","local_jail",110
"168",-95.9771016,29.8484628,"Brookshire CCD","state_pris",105
"169",-98.211194,32.6801684,"Palo Pinto-Santo CCD","local_jail",97
"170",-102.9811657,31.9034759,"Kermit CCD","local_jail",97
"171",-101.3891272,35.900545,"Stinnett CCD","local_jail",91
"172",-96.0741505,29.3371939,"Wharton CCD","local_jail",88
"173",-96.9731245,30.832445,"Cameron CCD","local_jail",86
"174",-98.6525013,33.0603982,"Graham CCD","local_jail",85
"175",-97.701935,31.4329075,"Gatesville CCD","local_jail",84
"176",-94.3504148,32.9856172,"Linden CCD","local_jail",82
"177",-96.4059612,30.1643522,"Brenham CCD","local_jail",80
"178",-102.2927854,34.9551498,"Hereford East CCD","local_jail",79
"179",-95.5885604,33.1537537,"Sulphur Springs CCD","local_jail",77
"180",-101.1985034,33.1514982,"Post East CCD","local_jail",75
"181",-101.0153024,35.4178029,"Pampa CCD","local_jail",74
"182",-96.0722182,30.0930296,"Hempstead CCD","local_jail",73
"183",-99.0243921,29.705668,"Bandera CCD","local_jail",72
"184",-94.4375853,30.7627788,"Woodville CCD","local_jail",72
"185",-95.3712626,31.3085512,"Crockett CCD","local_jail",70
"186",-101.4544945,32.1734119,"Big Spring CCD","local_jail",68
"187",-94.0562518,30.9726344,"Jasper CCD","local_jail",68
"188",-94.2145471,32.7930387,"Jefferson CCD","local_jail",65
"189",-97.1911697,29.0933065,"Cuero CCD","local_jail",64
"190",-98.1569667,33.2988863,"Jacksboro CCD","local_jail",64
"191",-99.0910375,29.3857818,"Hondo CCD","local_jail",64
"192",-96.6421115,29.0626289,"Edna-Cordele CCD","local_jail",62
"193",-98.0982646,27.676852,"Alice CCD","local_jail",62
