"","lon","lat","NAME","type","inmates"
"165",-75.6506341,39.4279877,"Middletown-Odessa CCD","state_pris",2590
"166",-78.8685157,42.4918,"Collins town","state_pris",2589
"167",-84.0135996,33.9638378,"Lawrenceville CCD","local_jail",2578
"168",-90.5370125,37.907997,"Perry township","state_pris",2570
"169",-81.5190339,39.7041982,"Olive township","state_pris",2533
"170",-98.1378941,26.3460448,"Edinburg CCD","state_pris",2512
"171",-82.6432658,30.1744485,"Lake City CCD","state_pris",2511
"172",-76.6764229,39.98884,"Springettsbury township","local_jail",2508
"173",-84.8976881,43.1605534,"Bloomer township","state_pris",2492
"174",-98.2558945,34.5724193,"Southeast Comanche CCD","state_pris",2488
"175",-80.6829137,40.780192,"Elkrun township","fed_pris",2473
"176",-90.0023205,35.1971075,"District 2","local_jail",2466
"177",-121.9203647,47.8975036,"Monroe CCD","state_pris",2463
"178",-86.3831843,39.6758341,"Guilford township","state_pris",2444
"179",-81.7385703,27.1319187,"Arcadia East CCD","state_pris",2441
"180",-95.5193638,31.1033091,"Lovelady CCD","state_pris",2436
"181",-74.7640005,40.2237484,"Trenton city","state_pris",2435
"182",-73.5298593,43.4609287,"Fort Ann town","state_pris",2433
"183",-92.6201059,30.8601112,"District 3","fed_pris",2430
"184",-114.6814574,32.5349481,"Somerton CCD","state_pris",2404
"185",-84.472378,33.7619599,"Atlanta CCD","fed_pris",2389
"186",-81.2074878,28.5240403,"Union Park CCD","state_pris",2378
"187",-85.3566749,40.0113108,"Prairie township","state_pris",2372
"188",-84.472378,33.7619599,"Atlanta CCD","local_jail",2371
"189",-90.3728154,33.9731872,"District 5","state_pris",2360
"190",-87.8559321,38.6981672,"Christy township","state_pris",2358
"191",-85.6480873,30.5548844,"Vernon CCD","state_pris",2356
"192",-77.199731,36.9831026,"Newville district","state_pris",2356
"193",-95.744105,31.0188802,"Midway CCD","state_pris",2355
"194",-119.3685308,35.1245784,"West Kern CCD","fed_pris",2351
"195",-89.8061286,35.7276458,"District 5","state_pris",2347
"196",-84.5378514,36.1201157,"District 3","state_pris",2345
"197",-119.7622741,36.780489,"Fresno CCD","local_jail",2344
"198",-86.9747527,34.8213418,"Athens CCD","state_pris",2342
"199",-94.897884,39.242934,"Lansing city","state_pris",2342
"200",-82.2714921,27.943237,"Brandon CCD","local_jail",2340
"201",-72.4536297,41.9927806,"Somers town","state_pris",2339
"202",-84.0730603,41.8527313,"Madison charter township","state_pris",2335
"203",-122.3241704,47.5586676,"Seattle CCD","local_jail",2320
"204",-89.4696546,36.4499197,"District 1","state_pris",2312
"205",-74.1725735,40.7242204,"Newark city","local_jail",2305
"206",-118.3258344,46.0548487,"Walla Walla-College Place CCD","state_pris",2300
"207",-109.4347432,31.693002,"Elfrida CCD","state_pris",2294
"208",-101.4544945,32.1734119,"Big Spring CCD","fed_pris",2288
"209",-88.562352,44.0226282,"Oshkosh city","state_pris",2284
"210",-89.3316925,38.0902632,"Pinckneyville No. 7 precinct","state_pris",2280
"211",-100.851471,32.4152718,"Colorado City CCD","state_pris",2275
"212",-86.1394918,39.7748527,"Center township","local_jail",2254
"213",-89.4594156,41.8677148,"Dixon township","state_pris",2249
"214",-111.9229048,40.6608221,"Salt Lake City CCD","local_jail",2249
"215",-71.0201725,42.33196,"Boston city","local_jail",2239
"216",-78.3809804,40.8512885,"Woodward township","state_pris",2237
"217",-78.6497093,35.7923634,"Raleigh township","state_pris",2228
"218",-81.062588,37.750996,"District 3","fed_pris",2224
"219",-86.8666697,41.7329494,"Michigan township","state_pris",2221
"220",-76.1440637,40.820356,"Mahanoy township","state_pris",2218
"221",-96.6883192,32.8294489,"Northeast Dallas CCD","state_pris",2214
"222",-80.4381714,41.8825526,"Conneaut township","state_pris",2197
"223",-80.2406081,34.9910266,"Lanesboro township","state_pris",2190
"224",-117.6964125,47.720717,"Airway Heights CCD","state_pris",2184
"225",-79.0974401,41.475669,"Jenks township","state_pris",2179
"226",-82.1044475,30.0678793,"Lawtey CCD","state_pris",2170
"227",-87.4007475,38.9621112,"Haddon township","state_pris",2156
"228",-91.169961,30.5570909,"District 2","state_pris",2156
"229",-72.6787509,41.9999149,"Suffield town","state_pris",2137
"230",-83.1022365,42.3830375,"Detroit city","state_pris",2130
"231",-77.6161729,35.5071999,"Olds township","state_pris",2128
"232",-98.7403555,29.3920668,"San Antonio West CCD","state_pris",2109
"233",-82.0123471,33.773302,"Edgefield CCD","fed_pris",2092
"234",-97.5634499,35.4945311,"Oklahoma City Southwest CCD","local_jail",2088
"235",-79.5761752,39.6099265,"Second district","fed_pris",2086
"236",-75.9811815,41.2796931,"Jackson township","state_pris",2086
"237",-84.535337,33.9614853,"Marietta CCD","local_jail",2085
"238",-75.4917117,43.2272326,"Rome city","state_pris",2083
"239",-80.6459017,41.099095,"Youngstown city","fed_pris",2071
"240",-90.046953,40.5810509,"Canton township","state_pris",2069
"241",-103.2776282,38.1489134,"Las Animas CCD","state_pris",2067
"242",-77.8152845,40.869816,"Benner township","state_pris",2064
"243",-73.69837,41.6028691,"Beekman town","state_pris",2062
"244",-101.9596293,32.7394955,"Lamesa CCD","state_pris",2060
"245",-90.7370862,39.975797,"Mount Sterling township","state_pris",2059
"246",-93.278938,44.298583,"Faribault city","state_pris",2058
"247",-71.3293599,42.1162455,"Norfolk town","state_pris",2055
"248",-70.9787781,41.9723874,"Bridgewater town","state_pris",2054
"249",-94.8165105,39.7583053,"Washington township","state_pris",2049
